chunk_id,human_label,stratum
1nabh4y_0,neutral,high_singlish
iwg4s4w_0,positive,high_singlish
j1dnz8t_0,negative,high_conf_english
kfo0vp5_0,neutral,high_singlish
fvtv7e8_0,neutral,high_singlish
i0qbxco_4,neutral,model_disagree
fzce2a5_1,positive,high_conf_english
j9sf60f_0,negative,high_singlish
ih15jcz_2,neutral,medium_singlish
nehr08p_0,negative,high_singlish
cf7pfqz_0,negative,high_singlish
gdgr4ar_1,positive,medium_singlish
hv3si6k_0,negative,high_singlish
ifgu5i5_0,neutral,model_disagree
cvhqyx_0,neutral,medium_singlish
idg3t7n_0,negative,medium_singlish
mv7mazz_0,neutral,high_singlish
h2n1ub9_0,neutral,medium_singlish
fo65zxw_0,positive,high_singlish
cwxbbuz_0,negative,high_conf_english
jjgi19y_0,neutral,medium_singlish
k9vpois_0,neutral,high_singlish
giql34e_0,positive,model_disagree
d4shi67_0,neutral,high_singlish
gesuyd8_0,neutral,medium_singlish
dvsdtpp_3,neutral,high_singlish
h5hfvcv_0,neutral,high_singlish
j8hcv1f_2,neutral,model_disagree
ma5wyse_0,negative,model_disagree
krx4n7r_0,neutral,medium_singlish
io3nb19_0,neutral,high_singlish
li7vzdc_0,neutral,medium_singlish
n5dtray_0,neutral,high_conf_english
iw6rqbn_1,negative,medium_singlish
j2vw5ey_0,negative,high_singlish
m35hf0q_0,negative,high_singlish
ihby2ty_0,positive,high_singlish
ig8y1r8_0,negative,high_singlish
ibph33t_0,negative,high_singlish
e47gfw9_0,neutral,high_conf_english
if6scx0_0,neutral,high_singlish
hxsr6jg_0,neutral,high_singlish
jcowyvb_2,negative,medium_singlish
jszaljn_0,positive,medium_singlish
jazx25d_0,neutral,high_conf_english
g2fq26y_0,positive,model_disagree
j1trzo0_0,negative,high_singlish
dn0zz4a_0,positive,medium_singlish
jf67vpb_5,neutral,high_conf_english
krxyyaq_0,negative,medium_singlish
hdagwjm_0,neutral,high_conf_english
gqllja2_0,neutral,medium_singlish
i5r1ms0_3,negative,model_disagree
j1cc1ah_0,neutral,high_singlish
k2o0i1e_3,neutral,medium_singlish
fzlu7vf_0,positive,high_singlish
j9y1c8g_0,positive,medium_singlish
iil4nld_0,negative,medium_singlish
l2te9kd_0,neutral,high_singlish
iud02ut_0,neutral,medium_singlish
gttfkow_5,negative,medium_singlish
lzeq7sv_0,negative,model_disagree
l0pjy8x_0,positive,medium_singlish
i11kode_0,negative,high_singlish
cu90xem_1,negative,medium_singlish
huevs97_0,negative,model_disagree
nq3lp24_1,negative,medium_singlish
fpqifgx_2,neutral,high_conf_english
fvcf67x_0,positive,high_conf_english
j0xrzty_0,negative,high_singlish
jqki1yz_3,negative,high_conf_english
mw9bu73_0,neutral,high_conf_english
legztk1_1,negative,medium_singlish
hbnpmt1_0,negative,high_singlish
ickom2x_0,neutral,high_singlish
ho43csh_0,neutral,medium_singlish
hwnq82e_0,negative,high_singlish
ja0wd5y_0,negative,medium_singlish
ljd7ftv_1,negative,medium_singlish
ebh2l01_0,negative,high_singlish
i2gqt1z_12,negative,medium_singlish
hy89xug_13,negative,high_singlish
hu1bh0l_0,negative,high_singlish
dr9t6lr_2,negative,medium_singlish
h4apdfb_1,negative,model_disagree
l34i6l2_0,neutral,high_singlish
ntt0glp_0,negative,high_conf_english
j95ojjl_0,positive,high_singlish
hnx4932_0,positive,high_singlish
hgkb2fl_0,negative,medium_singlish
lp51beq_0,positive,high_singlish
jxscjbe_0,positive,high_conf_english
gjq19jy_0,neutral,high_singlish
k2zpdxr_0,positive,high_singlish
il67j6j_0,negative,model_disagree
u49ikv_1,negative,high_singlish
hmnolyd_1,negative,high_singlish
nchjz5g_0,positive,high_singlish
jp3713d_0,positive,medium_singlish
ja8711n_0,positive,high_singlish
l13w29f_0,negative,model_disagree
e0j58ge_0,positive,high_singlish
ebhtuka_0,neutral,model_disagree
kj5xitn_0,neutral,high_conf_english
hox9z74_0,negative,medium_singlish
moms4i5_3,positive,medium_singlish
ise333k_0,neutral,high_singlish
gq7iink_5,negative,model_disagree
er4nx07_1,neutral,high_singlish
h4rhhuq_5,positive,model_disagree
m5byqp1_0,neutral,high_conf_english
ghh3u58_0,neutral,model_disagree
mr0x43n_0,neutral,model_disagree
ddhcmd0_0,positive,high_singlish
nh48zrc_2,neutral,model_disagree
eujvoqt_0,positive,model_disagree
mtt28f6_0,positive,high_singlish
jn3sqy9_0,negative,medium_singlish
